,pred,gt
458,loc-NORD WIND KOENNEN,KUESTE WIND HABEN
459,HEUTE NACHT WAHRSCHEINLICH SCHWACH MITTE REGION NEBEL LANG FRISCH,IX NACHT WAHRSCHEINLICH LOCKER ORT NEBEL HABEN LANG BLEIBEN
460,EINS DREI GRAD PLUS SECHS BIS GRAD ZWOELF GRAD,MORGEN VIER GRAD REGION SECHS BIS ELF GRAD FLUSS BIS ZWOELF GRAD
461,REGEN SUED KOMMEN SCHOEN TAG NACHT AUCH BISSCHEN NEBEL,REGEN MITTE SUED NOCH KLAR SUED NACHT NOCH BISSCHEN TRUEB NEBEL
462,REGEN FLUSS NEU IX NORD MOEGLICH BISSCHEN SONNE BISSCHEN REGEN BERG MAESSIG MITTE WEHEN,REGEN ZONE WEG IX NORD WIEDER BISSCHEN SONNE ABER BISSCHEN REGEN NOCH HABEN BISSCHEN MAESSIG MITTE WEHEN
463,NACHT MINUS DREI BIS PLUS VIER loc-NORD PLUS DREI IX BISSCHEN ZEHN BIS EINS,NACHT MINUS DREI BIS PLUS VIER NORD PLUS FUENF IX MORGEN ZEHN BIS FUENFZEHN REGION SECHSZEHN BIS DREI ZWANZIG
464,JETZT WETTER MORGEN FREITAG __PU__ FUENFZEHN,JETZT WETTER MORGEN FREITAG VIERZEHN MAI
465,IM-VERLAUF loc-REGION WECHSELHAFT MOEGLICH SCHNEE SUED loc-REGION HEUTE NACHT WOLKE,UND IM-VERLAUF UEBERALL WECHSELHAFT MOEGLICH SCHNEE SUED REGION NACHT WOLKE
466,TROCKEN NORD TEMPERATUR SUED FUENFZEHN MAXIMAL SECHSZEHN GRAD,MILD NORD AUCH ZWOELF ZWISCHEN VIERZEHN SUED UNGEFAEHR VIERZEHN MAXIMAL SECHSZEHN GRAD
467,HEUTE NACHT KLAR HIMMEL KOENNEN BIS DREIZEHN GRAD NORD WEHEN MINUS DREI GRAD,HEUTE NACHT KLAR HIMMEL KOENNEN MINUS FUENFZEHN GRAD NORDOST WEHEN MINUS DREI GRAD
468,IX FREUNDLICH NAECHSTE WOCHE TROCKEN WECHSELHAFT,ANDERE FREUNDLICH SONNE NAECHSTE WOCHE MILD ABER WECHSELHAFT
469,JETZT WETTER MORGEN FREITAG ZWANZIG MAI,JETZT WETTER MORGEN FREITAG EINS ZWANZIG MAI
470,SUED SCHWACH WEHEN IX MAESSIG REGION WEHEN STARK NORDRAUM STURM NACHT TEIL REGION IX,SUED SCHWACH WEHEN IX MAESSIG KUESTE FRISCH OST STURM NACHT TEIL BODEN FROST
471,LAND TIEF KOMMEN BISSCHEN TEILWEISE NUR KOENNEN FROST,REGION TIEF KOMMEN TAG KLAR STERN SEHEN KOENNEN FROST
472,WEST REGION BERG WIND,DAZU OST WEHEN
473,TIEF loc-REGION SCHWACH MORGEN OST,TIEF REGION SCHWACH MORGEN SOLL EINFLUSS OST REGION SUED
474,MORGEN MEISTENS SONNE NORDRAUM KOENNEN __PU__ WOLKE,MORGEN MEISTENS SONNE NORD KOENNEN BEWOELKT
475,HOCH KOMMEN HOCH KOMMEN MORGEN NORD loc-REGION VIEL SONNE TROCKEN __PU__,HOCH KOMMEN OST KOMMEN MORGEN DEUTSCH LAND VIEL SONNE TROCKEN
476,REGION KOENNEN cl-KOMMEN NEBEL,REGION TIEF KOMMEN WOLKE
477,REGION DANN SECHS BAYERN KALT MINUS FUENF VIER,REGION MORGEN SECHS BERG ALLGAEU KALT MINUS VIER
478,WIE-AUSSEHEN IN-KOMMEND MITTWOCH TEIL WOLKE IX KOENNEN REGEN KOENNEN,WIE-AUSSEHEN IN-KOMMEND MITTWOCH BLEIBEN WOLKE IX KOENNEN REGEN WEST KOENNEN SONNE
479,__PU__ IN-KOMMEND WENIGER WIND STARK BERG SCHNEE,IN-KOMMEND MEHR KUEHL WENIGER WIND STARK BERG REGION REGEN
480,TAG MEISTENS WOLKE NEBEL TEIL SCHNEE SCHNEIEN SUEDWESTRAUM __LEFTHAND__ SONNE,TAG HAUPTSAECHLICH WOLKE NEBEL DANN TEIL SCHNEE SCHNEIEN REGEN SUEDWEST BISSCHEN SONNE
481,MORGEN ZWANZIG NORDRAUM BIS GRAD REGION,MORGEN ZWANZIG GRAD NORD BIS ACHT ZWANZIG REGION
482,DIENSTAG WEST WOLKE REGEN,DIENSTAG WEST MEHR WOLKE SCHAUER
483,SONNTAG BERG IX AUCH REGEN NORD REGEN SCHAUER MITTE MEHR FREUNDLICH SONNE,SONNTAG ALPEN IX AUCH REGEN NORD SCHAUER MITTE MEHR FREUNDLICH SONNE
484,MORGEN AUCH WETTER HIMMEL DABEI,MORGEN WIEDER WETTER RUHIG FREUNDLICH WETTER HOCH DRUCK
485,NORDRAUM OST TEIL TROCKEN BERG KOENNEN SONNE IX,KOMMEN WEHEN AUFLOESEN HEUTE OST SCHON TROCKEN NACHMITTAG KOENNEN SONNE KOENNEN
486,JETZT WETTER WIE-AUSSEHEN MORGEN DREISSIG OKTOBER,JETZT WETTER WIE-AUSSEHEN MORGEN DREISSIG OKTOBER
487,DONNERSTAG SONNE AUCH TEILWEISE REGEN GEWITTER FREITAG MEHR KUEHL,DONNERSTAG SONNE TEILWEISE REGEN STARK GEWITTER FREITAG RUHIGER MEHR KUEHL
488,MONTAG HAUPTSAECHLICH SONNE NORDWESTRAUM REGEN,SAMSTAG HAUPTSAECHLICH SONNE NORD BISSCHEN REGEN
489,NORDRAUM WOLKE TIEF IX DEUTSCH LAND loc-OST SCHNEE SCHON WIND MOEGLICH,SKANDINAVIEN NORD WOLKE TIEF AUCH DEUTSCHLAND REGION KOMMEN NOCH UNWETTER MOEGLICH
490,BERG STURM KOENNEN ORKAN,BERG STURM ORKAN KOENNEN
491,WIND TAG DABEI WUENSCHEN SCHOEN ABEND GUT,STURM TAGSUEBER DABEI IHR WUENSCHEN ABEND MACHEN GUT
492,loc-SUED FREUNDLICH ABER TROCKEN,SUED MEHR RUHIG FREUNDLICH BISSCHEN MILD
493,IM-VERLAUF KOENNEN REGEN SCHAUER GEWITTER NORMAL,DARUNTER TAG IM-VERLAUF MEHR WARM TROTZDEM BLEIBEN SCHAUER GEWITTER NOCH
494,MORGEN OST loc-REGION DREI GRAD loc-REGION DREIZEHN GRAD,MORGEN OST REGION ZWEI GRAD REGION DREIZEHN GRAD
495,DANN cl-KOMMEN REGION IX REGION KLAR GEWITTER NORD REGEN GEWITTER KOENNEN NORDRAUM,REGEN UND REGION KLAR ABER NORDWEST IX REGEN AUCH GEWITTER IX NORD
496,MORGEN loc-NORD AUCH GEWITTER KUESTE SONNE MITTE SUED IM-VERLAUF WOLKE STARK GEWITTER,MORGEN NORD KAUM GEWITTER REGION SONNE MITTE REGION SUED MEHR DURCHEINANDER WOLKE UEBERWIEGEND GEWITTER
497,HEUTE NACHT __LEFTHAND__ GRAD MORGEN MAXIMAL NULL,HEUTE NACHT FLUSS VIERZEHN GRAD NORD MAXIMAL NULL
498,HEUTE NACHT ZWANZIG GRAD ALPEN HEISS BIS MINUS FLUSS,HEUTE NACHT ELF GRAD BERG ALLGAEU BIS SIEBZEHN FLUSS
499,HEUTE NACHT FLUSS loc-REGION ZWANZIG GRAD MITTE BERG EINS GRAD,HEUTE NACHT RUHRGEBIET ZWANZIG GRAD MITTE BERG MOEGLICH ELF GRAD
500,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SIEBEN ZWANZIG,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SIEBEN ZWANZIG SEPTEMBER
501,AB MONTAG DARUM IX ABER GEFAHR AUCH REGEN SINKEN MILD,AB MONTAG DAS-IST-ES DEUTSCH EINFLUSS REGEN IX WIND UND SCHNEE STUFENWEISE GRENZE
502,NORD loc-SUEDOST DANN KOENNEN SCHAUER GEWITTER KOENNEN,NORD SUEDOST AUCH KOENNEN REGEN GEWITTER DABEI
503,HEUTE NACHT SECHS BIS DREIZEHN GRAD MORGEN ZEHN GRAD REGION BIS FUENF ZWANZIG GRAD,HEUTE NACHT SECHS BIS DREIZEHN GRAD TAG TEMPERATUR STEIGEN ZEHN GRAD ALPEN BIS FUENF ZWANZIG GRAD WEST
504,NACHT ELF GRAD SECHSZEHN FLUSS MAXIMAL SIEBZEHN,HEUTE NACHT ELF TEMPERATUR SECHSZEHN SIEBZEHN MAXIMAL SIEBZEHN
505,MONTAG loc-NORD TEIL REGEN WIND,MONTAG AN KUESTE TEIL REGEN STURM
506,SUEDOSTRAUM IX SCHNEE FREITAG SAMSTAG loc-NORD WIND REGEN,IN-KOMMEND SCHNEE FREITAG SAMSTAG NORD WIND REGEN
507,loc-REGION SCHWACH MAESSIG NORD HEUTE NACHT FLUSS ACHT GRAD ALPEN MINUS SECHS,NORD REGION SCHWACH MAESSIG WIND HEUTE NACHT RHEIN ACHT GRAD ALPEN MINUS SECHS
508,IX WIND TAG GEWITTER loc-REGION WIND SCHWACH WEHEN,IX WIND MOEGLICH MAESSIG FRISCH SONST REGION WIND SCHWACH VERSCHIEDEN WEHEN
509,NORDOSTRAUM AUCH WOLKE SONST SCHON NUR BISSCHEN WOLKE,NORDOST WIEDER WOLKE ABER SONST NUR BISSCHEN WOLKE
510,WIE-AUSSEHEN __PU__ WETTER MORGEN MONTAG ZWANZIG DEZEMBER,JETZT WIE-AUSSEHEN WETTER MORGEN FREITAG ELF DEZEMBER
511,OST BERLIN SUEDOSTRAUM FUENF GRAD BIS ACHT ZWANZIG GRAD,OST SUED BERLIN SUED DEUTSCHLAND VIER ZWANZIG GRAD BIS ACHT ZWANZIG GRAD
512,REGION VIEL HIMMEL DEUTSCH REGION SUEDWESTRAUM IX HABEN,REGION VIEL HIMMEL REGION SUEDWEST AUCH LOCH NICHT-WOLKE NICHTALP-KEIN
513,ABER WETTER WARM KOENNEN,ABER REGEN WENIG
514,MORGEN __LEFTHAND__ REGION MINUS MAXIMAL ZWISCHEN HOEHE,MORGEN NORDWEST ZWEI SONST REGION MINUS FUENF ZWISCHEN EINS ZWISCHEN
515,IM-VERLAUF MITTE BISSCHEN NEBEL VERSCHWINDEN WIND SCHWACH MAESSIG,IM-VERLAUF MITTE AUCH WOLKE AUFLOESEN WIND SCHWACH MAESSIG
516,AUCH SEHEN SCHOEN MITTE BISSCHEN ODER SCHNEE REGEN,NORDWEST SONNE WAHRSCHEINLICH DABEI DANN SCHNEE REGEN
517,WIND SCHWACH REGEN KOMMEN,WIND SCHWACH WEHEN
518,MORGEN WEST TIEF KOMMEN OST KOMMEN REGEN GEWITTER STARK,MORGEN WEST TIEF KOMMEN RICHTUNG OST AUFZIEHEN REGEN GEWITTER STARK
519,WETTER BESONDERS WEST BISSCHEN KLAR BISSCHEN REGEN SCHNEE,HIMMEL HEUTE FAST ALLE WOLKE BESONDERS WEST MEHR BISSCHEN KLAR OST MEHR REGEN SCHNEE
520,IX WEHEN OST REGION SONNE MEHR WARM DABEI MAXIMAL SECHS ZWANZIG SUED MAXIMAL ZWANZIG GRAD,IX WEHEN OST REGION SONNE MEHR WARM MAXIMAL SECHS ZWANZIG SUED MAXIMAL SIEBEN ZWANZIG GRAD
521,NORDWESTRAUM IM-VERLAUF IX WOLKE ABER DABEI GEWITTER REGEN,NORDWEST SPAETER AUCH WOLKE DANN DABEI GEWITTER SCHAUER
522,WIND MAESSIG FRISCH IX STARK IX KUESTE AUCH STURM MOEGLICH,WIND MAESSIG FRISCH KUESTE IX STARK WENN GEWITTER IX DANN STURM MOEGLICH
523,NORD ZEHN GRAD MINUS DREI MITTE BERG,NORD INSEL NEUN ZEHN GRAD MINUS ZWEI MITTE BERG
524,MONTAG HAUPTSAECHLICH REGEN OST GEWITTER loc-SUEDOST MEHR WARM,MONTAG UEBERWIEGEND SCHAUER OST GEWITTER SUED WEST LANG FREUNDLICH
525,MORGEN IX REGEN GEWITTER SONNE,MORGEN IX VERSCHIEDEN SCHAUER GEWITTER SONNE SELTEN
526,IX REGION KOENNEN DANN WOLKE HIMMEL,IX REGION MOEGLICH MORGEN TRUEB HIMMEL
527,MORGEN VIER ZWISCHEN MAXIMAL ZWOELF loc-NORD KLAR IX WOLKE ABER TEILWEISE,MORGEN FRUEH FUENF BIS MAXIMAL ZWOELF NORD DEUTSCHLAND IX KLAR LUFT IX NEBEL UND TEILWEISE
528,MORGEN TEMPERATUR NULL BIS SIEBEN GRAD FLUSS MOEGLICH ACHT GRAD,MORGEN TEMPERATUR NULL BIS SIEBEN GRAD FLUSS MOEGLICH ACHT GRAD
529,MITTWOCH TEILWEISE TEIL NEBEL BLEIBEN TROCKEN,MITTWOCH TEIL SONNE TEIL WOLKE BLEIBEN TROCKEN
530,SUED ODER STERN KOENNEN SEHEN MITTE REGION WOLKE KOENNEN REGEN GEWITTER,SUEDWEST SOWIESO STERN KOENNEN SEHEN MITTE REGION WOLKE MORGEN KOENNEN REGEN GEWITTER
531,MORGEN MITTWOCH TIEF KOMMEN MOEGLICH __PU__ REGEN SCHAUER GEWITTER,DIENSTAG MITTWOCH TIEF KOMMEN MOEGLICH REGEN GEWITTER
532,REGION cl-KOMMEN SONNE KOENNEN,REGION KOMMEN SONNE SEHEN KOENNEN
533,TAG SUEDOSTRAUM SCHNEE REGEN SCHNEIEN AUCH SCHNEE SCHEINEN SCHNEIEN NORDWESTRAUM ABEND REGEN VERSCHWINDEN,TAG SUEDOST SCHNEE SCHNEIEN FLACH AUCH SCHNEE SCHNEIEN NORDWEST SCHNEE SCHAUER VERSCHWINDEN
534,FLUSS WARM __PU__ SONNE MITTAG TEMPERATUR BIS ZWANZIG GRAD,WOCHE WARM AUCH SONNE JEDEN-TAG GRAD STEIGEN BIS ZWEIZWANZIG
535,DRUCK SUED KOMMEN KOENNEN VIEL WOLKE KOENNEN REGEN GEWITTER KOENNEN,DRUCK TIEF KOMMEN ES-BEDEUTET VIEL WOLKE UND KOENNEN REGEN GEWITTER KOENNEN
536,SAMSTAG HOCH IX MEHR SONNE AUCH TEIL NOCH SOMMER TEMPERATUR,SAMSTAG SONNTAG HOCH SPANIEN IX VERBREITEN SONNE AUCH TEIL TATSAECHLICH SCHON SOMMER TEMPERATUR
537,SUED KLAR VIER BIS GRAD loc-NORD WOLKE __PU__,SUEDWEST KLAR MORGEN VIER BIS NEUN GRAD TAG NORD VIEL WOLKE
538,MORGEN AUCH HOCH LUFT VIEL SONNE ABER STEIGEN __LEFTHAND__,MORGEN AUCH HOCH LUFT VIEL SONNE DANN DAZU WARM
539,NORD LAND TIEF KOMMEN,NORD EUROPA TIEF KOMMEN
